tas,"	Year", Month, Country, ISO3, ISO2
28.7062,1915,7,OMN,,
27.6895,1915,8,OMN,,
27.6741,1915,9,OMN,,
26.1556,1915,10,OMN,,
23.8873,1915,11,OMN,,
21.1945,1915,12,OMN,,
20.063,1916,1,OMN,,
20.2013,1916,2,OMN,,
23.776,1916,3,OMN,,
26.4058,1916,4,OMN,,
29.4707,1916,5,OMN,,
30.1234,1916,6,OMN,,
28.8188,1916,7,OMN,,
27.6292,1916,8,OMN,,
27.2282,1916,9,OMN,,
25.7597,1916,10,OMN,,
23.4871,1916,11,OMN,,
21.1755,1916,12,OMN,,
20.0558,1917,1,OMN,,
21.0008,1917,2,OMN,,
22.9661,1917,3,OMN,,
26.6383,1917,4,OMN,,
29.0777,1917,5,OMN,,
30.0095,1917,6,OMN,,
28.958,1917,7,OMN,,
27.6284,1917,8,OMN,,
27.4378,1917,9,OMN,,
25.8066,1917,10,OMN,,
23.5276,1917,11,OMN,,
20.9247,1917,12,OMN,,
19.7772,1918,1,OMN,,
20.7383,1918,2,OMN,,
22.9788,1918,3,OMN,,
26.1982,1918,4,OMN,,
29.1671,1918,5,OMN,,
29.5326,1918,6,OMN,,
28.6059,1918,7,OMN,,
27.6253,1918,8,OMN,,
27.3639,1918,9,OMN,,
26.3837,1918,10,OMN,,
23.8748,1918,11,OMN,,
21.2107,1918,12,OMN,,
20.1141,1919,1,OMN,,
20.9428,1919,2,OMN,,
23.2842,1919,3,OMN,,
26.7636,1919,4,OMN,,
29.3301,1919,5,OMN,,
29.6892,1919,6,OMN,,
28.5667,1919,7,OMN,,
27.6769,1919,8,OMN,,
27.4202,1919,9,OMN,,
26.2151,1919,10,OMN,,
23.8509,1919,11,OMN,,
21.2451,1919,12,OMN,,
19.9957,1920,1,OMN,,
20.2822,1920,2,OMN,,
23.6611,1920,3,OMN,,
26.585,1920,4,OMN,,
29.4154,1920,5,OMN,,
30.1938,1920,6,OMN,,
28.6215,1920,7,OMN,,
27.6247,1920,8,OMN,,
27.619,1920,9,OMN,,
26.561,1920,10,OMN,,
23.9779,1920,11,OMN,,
20.5637,1920,12,OMN,,
19.9803,1921,1,OMN,,
20.6744,1921,2,OMN,,
23.7723,1921,3,OMN,,
27.2298,1921,4,OMN,,
29.3121,1921,5,OMN,,
30.1036,1921,6,OMN,,
28.8968,1921,7,OMN,,
27.5299,1921,8,OMN,,
27.5741,1921,9,OMN,,
26.0179,1921,10,OMN,,
23.8734,1921,11,OMN,,
21.1568,1921,12,OMN,,
20.0852,1922,1,OMN,,
20.6608,1922,2,OMN,,
23.3689,1922,3,OMN,,
26.777,1922,4,OMN,,
29.2288,1922,5,OMN,,
30.1217,1922,6,OMN,,
28.9114,1922,7,OMN,,
27.769,1922,8,OMN,,
27.412,1922,9,OMN,,
26.0688,1922,10,OMN,,
24.0305,1922,11,OMN,,
21.5094,1922,12,OMN,,
19.891,1923,1,OMN,,
20.4536,1923,2,OMN,,
23.6526,1923,3,OMN,,
26.3922,1923,4,OMN,,
29.2446,1923,5,OMN,,
30.1077,1923,6,OMN,,
28.9136,1923,7,OMN,,
27.4136,1923,8,OMN,,
27.3098,1923,9,OMN,,
26.1139,1923,10,OMN,,
23.4813,1923,11,OMN,,
21.1903,1923,12,OMN,,
20.0308,1924,1,OMN,,
20.6771,1924,2,OMN,,
24.1296,1924,3,OMN,,
26.7789,1924,4,OMN,,
29.5044,1924,5,OMN,,
30.3102,1924,6,OMN,,
28.9147,1924,7,OMN,,
27.5438,1924,8,OMN,,
27.4111,1924,9,OMN,,
26.339,1924,10,OMN,,
23.7563,1924,11,OMN,,
21.1737,1924,12,OMN,,
19.211,1925,1,OMN,,
19.8757,1925,2,OMN,,
23.806,1925,3,OMN,,
27.1389,1925,4,OMN,,
29.4269,1925,5,OMN,,
29.8665,1925,6,OMN,,
28.4835,1925,7,OMN,,
27.696,1925,8,OMN,,
27.5977,1925,9,OMN,,
26.5178,1925,10,OMN,,
23.6563,1925,11,OMN,,
21.3751,1925,12,OMN,,
20.1407,1926,1,OMN,,
21.2925,1926,2,OMN,,
23.2883,1926,3,OMN,,
26.1154,1926,4,OMN,,
29.3368,1926,5,OMN,,
30.1633,1926,6,OMN,,
28.7881,1926,7,OMN,,
27.7456,1926,8,OMN,,
27.1777,1926,9,OMN,,
26.0853,1926,10,OMN,,
23.7692,1926,11,OMN,,
21.3985,1926,12,OMN,,
19.7723,1927,1,OMN,,
20.3147,1927,2,OMN,,
23.1623,1927,3,OMN,,
